,Unit,PowerCapacity,Nunits,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,CHPMaxHeat,STOMaxDischargingPower,STODischargingEfficiency
LT_STUR_GEO,LT_STUR_GEO,34.833333333333336,6.0,LT,STUR,GEO,0.1,2,2,0.02,0.02,0,0.0,0.0,0.0,0.1,0.0,0.0,,,,,,,,,,,,,,
LT_COMC_GAS,LT_COMC_GAS,398.14285714285717,7.0,LT,COMC,GAS,0.51,3,3,0.07,0.07,55,2.9,0.25,0.062171053,0.57,1.0,0.3569,,,,,,,,,,,,,,
LT_STUR_BIO,LT_STUR_BIO,97.99999999999999,2.0,LT,STUR,BIO,0.4,4,6,0.02,0.02,120,12.5,1.3,0.4,0.35,1.0,0.417390427,,,,,,,,,,,,,,
LT_STUR_OIL,LT_STUR_OIL,18.0,1.0,LT,STUR,OIL,0.33,5,5,0.02,0.02,120,0.0,1.8,0.4,0.33,1.0,0.7246,,,,,,,,,,,,,,
LT_HDAM_WAT,LT_HDAM_WAT,116.0,1,LT,HDAM,WAT,0.8,0,0,0.066666667,0.066666667,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,12096.7,0.0,0.0,0.8,,,
LT_WTOF_WIN,LT_WTOF_WIN,10.0,1,LT,WTOF,WIN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,
LT_WTON_WIN,LT_WTON_WIN,9643.0,1,LT,WTON,WIN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,
LT_PHOT_SUN,LT_PHOT_SUN,5548.0,1,LT,PHOT,SUN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,
LT_ALK_H2_HYD,LT_ALK_H2_HYD,8986.0,1,LT,ALK_H2,HYD,0.6,0,0,1.0,1.0,0,0.0,0.0,0.15,0.6,0.0,0.0,,,,,,,,426944.44444444444,0.0,8986.0,0.6,,0.0,0.46
LT_BEVS_OTH,LT_BEVS_OTH,7189.0,1,LT,BEVS,OTH,0.95,0,0,1.0,1.0,0,0.0,0.0,0.0,0.95,0.0,0.0,,,,,,,,29474.899999999998,0.0,7189.0,0.95,,,
LT_P2HT_OTH,LT_P2HT_OTH,0.002999999999999999,452000.0,LT,P2HT,OTH,1.0,0,0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.4255677039529016,5.0,0.03591918197031859,0.0005033574068342286,0.014999999999999996,0.03,,,,,
LT_STUR_BIO_CHP,LT_STUR_BIO_CHP,44.0,1.0,LT,STUR,BIO,0.4,4,6,0.02,0.02,120,12.5,1.3,0.4,0.35,1.0,0.417390427,Extraction,0.45,0.23800000000000002,,,,,1173.3333333333333,0.03,,,,,
LT_COMC_GAS_CHP,LT_COMC_GAS_CHP,175.0,1.0,LT,COMC,GAS,0.51,3,3,0.07,0.07,55,2.9,0.25,0.062171053,0.57,1.0,0.3569,Extraction,0.95,0.213,,,,,2210.5263157894738,0.03,,,,,
